number,DateTime,Date,Site6,Site5,Site3,Site2
5,8/13/2019 14:00,8/13/2019,17.77,12.20,10.71,9.56
6,8/13/2019 14:15,8/13/2019,12.85,12.41,10.59,8.05
7,8/13/2019 14:30,8/13/2019,10.59,12.22,10.52,7.62
8,8/13/2019 14:45,8/13/2019,10.10,12.29,10.39,7.54
9,8/13/2019 15:00,8/13/2019,9.76,12.73,10.27,7.54
10,8/13/2019 15:15,8/13/2019,9.85,12.75,10.32,7.54
11,8/13/2019 15:30,8/13/2019,10.12,13.11,10.35,7.49
12,8/13/2019 15:45,8/13/2019,9.98,12.99,10.30,7.65
13,8/13/2019 16:00,8/13/2019,10.25,13.71,10.27,7.57
14,8/13/2019 16:15,8/13/2019,10.39,14.15,10.35,7.52
15,8/13/2019 16:30,8/13/2019,10.27,14.12,10.27,7.67
16,8/13/2019 16:45,8/13/2019,10.15,13.55,10.20,7.90
17,8/13/2019 17:00,8/13/2019,10.52,14.24,10.10,7.80
18,8/13/2019 17:15,8/13/2019,10.27,14.41,10.10,7.82
19,8/13/2019 17:30,8/13/2019,10.37,14.72,9.95,7.92
20,8/13/2019 17:45,8/13/2019,10.83,15.18,9.90,7.95
21,8/13/2019 18:00,8/13/2019,10.71,14.84,9.85,8.22
22,8/13/2019 18:15,8/13/2019,10.61,14.94,9.83,8.05
23,8/13/2019 18:30,8/13/2019,10.76,15.10,9.78,8.00
24,8/13/2019 18:45,8/13/2019,10.83,15.03,9.73,7.97
25,8/13/2019 19:00,8/13/2019,10.66,14.86,9.71,8.02
26,8/13/2019 19:15,8/13/2019,10.69,14.67,9.58,8.07
27,8/13/2019 19:30,8/13/2019,11.03,14.63,9.61,7.97
28,8/13/2019 19:45,8/13/2019,11.01,14.55,9.56,8.00
29,8/13/2019 20:00,8/13/2019,10.64,14.31,9.44,8.12
30,8/13/2019 20:15,8/13/2019,10.39,13.21,9.39,8.47
31,8/13/2019 20:30,8/13/2019,10.47,13.16,9.31,8.37
32,8/13/2019 20:45,8/13/2019,10.54,13.02,9.26,8.32
33,8/13/2019 21:00,8/13/2019,10.54,12.92,9.19,8.27
34,8/13/2019 21:15,8/13/2019,10.61,12.75,9.09,8.27
35,8/13/2019 21:30,8/13/2019,10.44,12.56,9.04,8.32
36,8/13/2019 21:45,8/13/2019,10.35,12.32,8.94,8.34
37,8/13/2019 22:00,8/13/2019,10.25,12.20,8.87,8.37
38,8/13/2019 22:15,8/13/2019,10.20,11.90,8.77,8.37
39,8/13/2019 22:30,8/13/2019,10.15,11.66,8.72,8.37
40,8/13/2019 22:45,8/13/2019,10.05,11.57,8.64,8.37
41,8/13/2019 23:00,8/13/2019,10.08,11.47,8.59,8.42
42,8/13/2019 23:15,8/13/2019,10.05,11.18,8.54,8.52
43,8/13/2019 23:30,8/13/2019,9.98,10.91,8.47,8.59
44,8/13/2019 23:45,8/13/2019,9.90,10.71,8.42,8.62
45,8/14/2019 0:00,8/14/2019,9.83,10.27,8.34,8.64
46,8/14/2019 0:15,8/14/2019,9.73,9.93,8.30,8.69
47,8/14/2019 0:30,8/14/2019,9.66,9.78,8.25,8.67
48,8/14/2019 0:45,8/14/2019,9.61,9.58,8.20,8.69
49,8/14/2019 1:00,8/14/2019,9.58,9.21,8.17,8.72
50,8/14/2019 1:15,8/14/2019,9.51,8.94,8.12,8.79
51,8/14/2019 1:30,8/14/2019,9.41,8.87,8.10,8.79
52,8/14/2019 1:45,8/14/2019,9.34,8.77,8.02,8.77
53,8/14/2019 2:00,8/14/2019,9.24,8.54,8.00,8.77
54,8/14/2019 2:15,8/14/2019,9.19,8.27,7.97,8.89
55,8/14/2019 2:30,8/14/2019,9.09,8.05,7.95,8.92
56,8/14/2019 2:45,8/14/2019,9.04,7.80,7.90,8.92
57,8/14/2019 3:00,8/14/2019,8.94,7.77,7.87,8.84
58,8/14/2019 3:15,8/14/2019,8.87,7.65,7.82,8.79
59,8/14/2019 3:30,8/14/2019,8.79,7.42,7.80,8.79
60,8/14/2019 3:45,8/14/2019,8.69,7.54,7.77,8.69
61,8/14/2019 4:00,8/14/2019,8.62,7.52,7.77,8.59
62,8/14/2019 4:15,8/14/2019,8.52,7.42,7.72,8.52
63,8/14/2019 4:30,8/14/2019,8.47,7.29,7.67,8.49
64,8/14/2019 4:45,8/14/2019,8.39,7.04,7.62,8.54
65,8/14/2019 5:00,8/14/2019,8.34,6.91,7.57,8.54
66,8/14/2019 5:15,8/14/2019,8.27,6.79,7.52,8.52
67,8/14/2019 5:30,8/14/2019,8.20,6.69,7.49,8.49
68,8/14/2019 5:45,8/14/2019,8.15,6.59,7.44,8.49
69,8/14/2019 6:00,8/14/2019,8.07,6.54,7.44,8.47
70,8/14/2019 6:15,8/14/2019,8.00,6.56,7.42,8.44
71,8/14/2019 6:30,8/14/2019,7.92,6.46,7.42,8.39
72,8/14/2019 6:45,8/14/2019,7.85,6.46,7.39,8.34
73,8/14/2019 7:00,8/14/2019,7.80,6.36,7.37,8.32
74,8/14/2019 7:15,8/14/2019,7.72,6.33,7.34,8.30
75,8/14/2019 7:30,8/14/2019,7.65,6.33,7.34,8.27
76,8/14/2019 7:45,8/14/2019,7.59,6.28,7.32,8.22
77,8/14/2019 8:00,8/14/2019,7.54,6.18,7.32,8.22
78,8/14/2019 8:15,8/14/2019,7.49,6.05,7.29,8.27
79,8/14/2019 8:30,8/14/2019,7.44,6.08,7.29,8.22
80,8/14/2019 8:45,8/14/2019,7.42,6.18,7.54,8.20
81,8/14/2019 9:00,8/14/2019,7.42,6.15,8.05,8.15
82,8/14/2019 9:15,8/14/2019,7.42,6.38,8.37,8.15
83,8/14/2019 9:30,8/14/2019,7.42,6.23,8.74,8.15
84,8/14/2019 9:45,8/14/2019,7.44,6.69,9.31,8.15
85,8/14/2019 10:00,8/14/2019,7.62,7.24,9.88,8.07
86,8/14/2019 10:15,8/14/2019,7.90,7.95,10.37,8.00
87,8/14/2019 10:30,8/14/2019,8.10,8.17,10.81,7.95
88,8/14/2019 10:45,8/14/2019,8.32,8.72,11.18,7.92
89,8/14/2019 11:00,8/14/2019,8.82,9.49,11.54,7.82
90,8/14/2019 11:15,8/14/2019,9.06,9.19,11.71,7.87
91,8/14/2019 11:30,8/14/2019,8.89,9.58,11.57,7.90
92,8/14/2019 11:45,8/14/2019,9.19,10.15,11.59,7.95
93,8/14/2019 12:00,8/14/2019,9.58,10.44,11.59,7.87
94,8/14/2019 12:15,8/14/2019,9.56,10.59,12.82,7.97
95,8/14/2019 12:30,8/14/2019,9.76,10.69,12.80,8.00
96,8/14/2019 12:45,8/14/2019,9.98,11.18,12.82,8.00
97,8/14/2019 13:00,8/14/2019,10.35,11.30,12.80,8.17
98,8/14/2019 13:15,8/14/2019,10.15,11.71,12.82,8.15
99,8/14/2019 13:30,8/14/2019,10.27,12.44,13.14,8.27
100,8/14/2019 13:45,8/14/2019,10.30,13.09,13.09,8.30
101,8/14/2019 14:00,8/14/2019,10.81,13.14,12.94,8.17
102,8/14/2019 14:15,8/14/2019,10.76,13.21,12.61,8.17
103,8/14/2019 14:30,8/14/2019,10.79,13.55,12.53,8.25
104,8/14/2019 14:45,8/14/2019,10.93,14.22,12.61,8.27
105,8/14/2019 15:00,8/14/2019,10.79,14.17,12.46,8.42
106,8/14/2019 15:15,8/14/2019,11.18,14.31,12.46,8.42
107,8/14/2019 15:30,8/14/2019,11.18,14.43,12.39,8.47
108,8/14/2019 15:45,8/14/2019,11.25,14.34,12.22,8.49
109,8/14/2019 16:00,8/14/2019,11.15,14.10,12.15,8.54
110,8/14/2019 16:15,8/14/2019,11.10,14.00,11.98,8.62
111,8/14/2019 16:30,8/14/2019,11.27,14.24,11.90,8.47
112,8/14/2019 16:45,8/14/2019,11.47,14.43,11.73,8.57
113,8/14/2019 17:00,8/14/2019,11.37,14.89,11.76,8.59
114,8/14/2019 17:15,8/14/2019,11.39,14.79,11.71,8.74
115,8/14/2019 17:30,8/14/2019,11.57,14.91,11.69,8.64
116,8/14/2019 17:45,8/14/2019,11.37,14.94,11.61,8.79
117,8/14/2019 18:00,8/14/2019,11.66,15.13,11.59,8.79
118,8/14/2019 18:15,8/14/2019,11.71,15.22,11.54,8.72
119,8/14/2019 18:30,8/14/2019,11.71,15.03,11.42,8.92
120,8/14/2019 18:45,8/14/2019,11.27,15.22,11.35,8.92
121,8/14/2019 19:00,8/14/2019,11.39,15.01,11.20,8.92
122,8/14/2019 19:15,8/14/2019,11.42,15.13,11.15,8.97
123,8/14/2019 19:30,8/14/2019,11.47,14.96,11.03,8.92
124,8/14/2019 19:45,8/14/2019,11.39,14.55,10.86,9.04
125,8/14/2019 20:00,8/14/2019,11.08,13.93,10.71,8.97
126,8/14/2019 20:15,8/14/2019,11.08,13.50,10.59,8.99
127,8/14/2019 20:30,8/14/2019,11.13,13.35,10.44,8.94
128,8/14/2019 20:45,8/14/2019,11.25,13.11,10.32,8.92
129,8/14/2019 21:00,8/14/2019,11.20,12.82,10.27,8.94
130,8/14/2019 21:15,8/14/2019,11.15,13.04,10.20,8.99
131,8/14/2019 21:30,8/14/2019,11.18,12.90,10.10,8.94
132,8/14/2019 21:45,8/14/2019,11.13,12.56,9.98,8.92
133,8/14/2019 22:00,8/14/2019,11.05,12.24,9.95,8.94
134,8/14/2019 22:15,8/14/2019,10.98,12.10,9.85,9.04
135,8/14/2019 22:30,8/14/2019,10.83,11.98,9.73,9.11
136,8/14/2019 22:45,8/14/2019,10.83,11.81,9.63,9.02
137,8/14/2019 23:00,8/14/2019,10.76,11.66,9.68,9.06
138,8/14/2019 23:15,8/14/2019,10.59,11.49,9.63,9.19
139,8/14/2019 23:30,8/14/2019,10.52,11.37,9.58,9.11
140,8/14/2019 23:45,8/14/2019,10.52,11.30,9.51,9.09
141,8/15/2019 0:00,8/15/2019,10.39,11.03,9.49,9.06
142,8/15/2019 0:15,8/15/2019,10.27,10.83,9.56,9.04
143,8/15/2019 0:30,8/15/2019,10.27,10.54,9.49,8.99
144,8/15/2019 0:45,8/15/2019,10.08,10.42,9.41,9.11
145,8/15/2019 1:00,8/15/2019,10.05,10.57,9.49,9.09
146,8/15/2019 1:15,8/15/2019,9.98,10.69,9.49,9.09
147,8/15/2019 1:30,8/15/2019,9.88,10.49,9.41,9.06
148,8/15/2019 1:45,8/15/2019,9.81,10.10,9.46,9.11
149,8/15/2019 2:00,8/15/2019,9.73,10.08,9.36,9.06
150,8/15/2019 2:15,8/15/2019,9.71,10.00,9.19,9.04
151,8/15/2019 2:30,8/15/2019,9.58,9.88,9.16,8.97
152,8/15/2019 2:45,8/15/2019,9.53,9.78,9.06,8.94
153,8/15/2019 3:00,8/15/2019,9.49,9.61,8.97,8.97
154,8/15/2019 3:15,8/15/2019,9.41,9.41,8.94,8.89
155,8/15/2019 3:30,8/15/2019,9.26,9.19,8.92,8.94
156,8/15/2019 3:45,8/15/2019,9.16,9.11,8.77,8.97
157,8/15/2019 4:00,8/15/2019,9.14,9.09,8.77,8.89
158,8/15/2019 4:15,8/15/2019,9.04,9.02,8.69,8.89
159,8/15/2019 4:30,8/15/2019,8.94,8.84,8.62,8.94
160,8/15/2019 4:45,8/15/2019,8.89,8.64,8.59,8.94
161,8/15/2019 5:00,8/15/2019,8.79,8.57,8.54,8.92
162,8/15/2019 5:15,8/15/2019,8.72,8.44,8.52,8.97
163,8/15/2019 5:30,8/15/2019,8.62,8.39,8.49,8.92
164,8/15/2019 5:45,8/15/2019,8.57,8.17,8.39,8.87
165,8/15/2019 6:00,8/15/2019,8.47,8.02,8.27,8.87
166,8/15/2019 6:15,8/15/2019,8.44,8.00,8.25,8.84
167,8/15/2019 6:30,8/15/2019,8.34,7.87,8.17,8.82
168,8/15/2019 6:45,8/15/2019,8.30,7.77,8.10,8.79
169,8/15/2019 7:00,8/15/2019,8.25,7.90,8.10,8.72
170,8/15/2019 7:15,8/15/2019,8.20,7.80,8.10,8.72
171,8/15/2019 7:30,8/15/2019,8.07,7.67,8.15,8.72
172,8/15/2019 7:45,8/15/2019,8.05,7.49,8.20,8.72
173,8/15/2019 8:00,8/15/2019,7.97,7.47,8.22,8.67
174,8/15/2019 8:15,8/15/2019,7.95,7.39,8.25,8.64
175,8/15/2019 8:30,8/15/2019,7.90,7.29,8.25,8.64
176,8/15/2019 8:45,8/15/2019,7.85,7.32,8.99,8.62
177,8/15/2019 9:00,8/15/2019,7.90,7.22,10.17,8.62
178,8/15/2019 9:15,8/15/2019,7.92,7.19,10.96,8.69
179,8/15/2019 9:30,8/15/2019,8.00,7.34,11.52,8.64
180,8/15/2019 9:45,8/15/2019,8.00,7.49,12.03,8.67
181,8/15/2019 10:00,8/15/2019,8.02,7.90,12.49,8.72
182,8/15/2019 10:15,8/15/2019,8.07,8.47,13.02,8.67
183,8/15/2019 10:30,8/15/2019,8.44,9.06,13.38,8.62
184,8/15/2019 10:45,8/15/2019,8.49,9.46,13.69,8.57
185,8/15/2019 11:00,8/15/2019,8.77,10.00,14.00,8.52
186,8/15/2019 11:15,8/15/2019,8.82,9.61,14.48,8.64
187,8/15/2019 11:30,8/15/2019,8.99,10.32,14.15,8.64
188,8/15/2019 11:45,8/15/2019,9.41,11.03,13.55,8.57
189,8/15/2019 12:00,8/15/2019,9.66,11.37,13.50,8.49
190,8/15/2019 12:15,8/15/2019,10.00,11.27,13.38,8.47
191,8/15/2019 12:30,8/15/2019,9.73,10.88,13.47,8.79
192,8/15/2019 12:45,8/15/2019,9.81,11.73,13.50,8.77
193,8/15/2019 13:00,8/15/2019,9.83,11.05,13.50,9.02
194,8/15/2019 13:15,8/15/2019,9.88,12.07,13.57,9.02
195,8/15/2019 13:30,8/15/2019,10.25,12.53,13.83,8.87
196,8/15/2019 13:45,8/15/2019,10.61,12.34,13.81,8.92
197,8/15/2019 14:00,8/15/2019,10.91,14.03,13.69,8.74
198,8/15/2019 14:15,8/15/2019,10.91,14.24,13.55,8.79
199,8/15/2019 14:30,8/15/2019,10.59,13.62,13.40,9.26
200,8/15/2019 14:45,8/15/2019,10.98,14.77,13.35,9.04
201,8/15/2019 15:00,8/15/2019,11.05,14.41,13.06,9.06
202,8/15/2019 15:15,8/15/2019,11.39,15.25,13.09,8.97
203,8/15/2019 15:30,8/15/2019,11.47,15.44,13.09,8.97
204,8/15/2019 15:45,8/15/2019,11.47,15.41,13.14,8.94
205,8/15/2019 16:00,8/15/2019,11.54,16.11,13.04,8.94
206,8/15/2019 16:15,8/15/2019,11.64,15.99,13.04,9.11
207,8/15/2019 16:30,8/15/2019,12.12,16.18,12.99,9.02
208,8/15/2019 16:45,8/15/2019,12.22,16.58,12.92,8.94
209,8/15/2019 17:00,8/15/2019,11.86,16.82,12.97,9.14
210,8/15/2019 17:15,8/15/2019,12.27,16.80,12.90,9.19
211,8/15/2019 17:30,8/15/2019,12.24,16.73,12.78,9.14
212,8/15/2019 17:45,8/15/2019,12.39,16.84,12.78,9.14
213,8/15/2019 18:00,8/15/2019,11.83,16.70,12.65,9.36
214,8/15/2019 18:15,8/15/2019,12.34,16.32,12.56,9.21
215,8/15/2019 18:30,8/15/2019,12.46,16.18,12.27,9.26
216,8/15/2019 18:45,8/15/2019,12.49,16.11,12.17,9.31
217,8/15/2019 19:00,8/15/2019,12.27,15.75,11.90,9.41
218,8/15/2019 19:15,8/15/2019,12.20,15.46,11.78,9.41
219,8/15/2019 19:30,8/15/2019,12.24,15.25,11.61,9.39
220,8/15/2019 19:45,8/15/2019,12.12,14.27,10.88,9.31
221,8/15/2019 20:00,8/15/2019,11.90,14.34,10.79,9.51
222,8/15/2019 20:15,8/15/2019,11.86,14.31,10.71,9.73
223,8/15/2019 20:30,8/15/2019,11.73,14.10,10.59,9.81
224,8/15/2019 20:45,8/15/2019,11.54,13.74,10.76,9.71
225,8/15/2019 21:00,8/15/2019,11.37,13.45,10.79,9.58
226,8/15/2019 21:15,8/15/2019,11.47,13.21,10.69,9.53
227,8/15/2019 21:30,8/15/2019,11.44,13.06,10.69,9.46
228,8/15/2019 21:45,8/15/2019,11.39,12.90,10.64,9.49
229,8/15/2019 22:00,8/15/2019,11.13,12.82,10.54,9.46
230,8/15/2019 22:15,8/15/2019,10.96,12.49,10.76,9.56
231,8/15/2019 22:30,8/15/2019,10.81,12.12,10.71,9.56
232,8/15/2019 22:45,8/15/2019,10.79,12.24,10.61,9.44
233,8/15/2019 23:00,8/15/2019,10.71,12.15,10.39,9.41
234,8/15/2019 23:15,8/15/2019,10.64,11.95,10.27,9.39
235,8/15/2019 23:30,8/15/2019,10.57,11.83,10.15,9.39
236,8/15/2019 23:45,8/15/2019,10.39,11.71,10.03,9.46
237,8/16/2019 0:00,8/16/2019,10.37,11.66,9.90,9.53
238,8/16/2019 0:15,8/16/2019,10.27,11.49,9.85,9.63
239,8/16/2019 0:30,8/16/2019,9.98,11.25,9.81,9.53
240,8/16/2019 0:45,8/16/2019,9.95,11.01,9.68,9.49
241,8/16/2019 1:00,8/16/2019,9.90,10.88,9.71,9.44
242,8/16/2019 1:15,8/16/2019,9.78,10.86,9.78,9.44
243,8/16/2019 1:30,8/16/2019,9.68,10.74,9.83,9.39
244,8/16/2019 1:45,8/16/2019,9.61,10.71,10.03,9.34
245,8/16/2019 2:00,8/16/2019,9.53,10.49,9.83,9.39
246,8/16/2019 2:15,8/16/2019,9.36,10.35,9.71,9.26
247,8/16/2019 2:30,8/16/2019,9.34,10.15,9.66,9.29
248,8/16/2019 2:45,8/16/2019,9.24,10.00,9.56,9.26
249,8/16/2019 3:00,8/16/2019,9.19,9.85,9.46,9.26
250,8/16/2019 3:15,8/16/2019,9.09,9.88,9.41,9.26
251,8/16/2019 3:30,8/16/2019,9.06,9.63,9.36,9.21
252,8/16/2019 3:45,8/16/2019,8.99,9.46,9.41,9.21
253,8/16/2019 4:00,8/16/2019,8.92,9.36,9.26,9.21
254,8/16/2019 4:15,8/16/2019,8.87,9.24,9.19,9.16
255,8/16/2019 4:30,8/16/2019,8.79,9.14,9.11,9.11
256,8/16/2019 4:45,8/16/2019,8.74,8.99,9.06,9.09
257,8/16/2019 5:00,8/16/2019,8.67,8.87,8.99,9.09
258,8/16/2019 5:15,8/16/2019,8.64,8.92,9.02,9.06
259,8/16/2019 5:30,8/16/2019,8.57,8.89,9.11,9.02
260,8/16/2019 5:45,8/16/2019,8.52,8.79,9.11,8.94
261,8/16/2019 6:00,8/16/2019,8.47,8.92,9.02,8.94
262,8/16/2019 6:15,8/16/2019,8.42,8.72,8.99,8.94
263,8/16/2019 6:30,8/16/2019,8.37,8.72,8.92,8.89
264,8/16/2019 6:45,8/16/2019,8.30,8.64,8.92,8.87
265,8/16/2019 7:00,8/16/2019,8.27,8.67,8.84,8.84
266,8/16/2019 7:15,8/16/2019,8.22,8.59,9.02,8.84
267,8/16/2019 7:30,8/16/2019,8.17,8.57,8.94,8.84
268,8/16/2019 7:45,8/16/2019,8.15,8.47,9.06,8.79
269,8/16/2019 8:00,8/16/2019,8.10,8.52,9.04,8.82
270,8/16/2019 8:15,8/16/2019,8.07,8.44,9.06,8.82
271,8/16/2019 8:30,8/16/2019,8.02,8.20,9.16,8.84
272,8/16/2019 8:45,8/16/2019,8.00,8.30,9.73,8.82
273,8/16/2019 9:00,8/16/2019,8.05,8.17,10.86,8.77
274,8/16/2019 9:15,8/16/2019,8.10,8.30,11.90,8.79
275,8/16/2019 9:30,8/16/2019,8.20,8.34,12.56,8.87
276,8/16/2019 9:45,8/16/2019,8.30,8.32,13.26,8.82
277,8/16/2019 10:00,8/16/2019,8.30,8.30,13.74,8.84
278,8/16/2019 10:15,8/16/2019,8.52,8.42,14.36,8.79
279,8/16/2019 10:30,8/16/2019,8.82,8.62,14.75,8.84
280,8/16/2019 10:45,8/16/2019,8.94,8.79,14.86,8.84
281,8/16/2019 11:00,8/16/2019,9.34,9.09,14.86,8.84
282,8/16/2019 11:15,8/16/2019,9.39,9.85,15.25,8.77
283,8/16/2019 11:30,8/16/2019,9.66,10.37,14.89,8.74
284,8/16/2019 11:45,8/16/2019,9.76,9.88,14.65,8.94
285,8/16/2019 12:00,8/16/2019,10.10,10.88,14.58,8.94
286,8/16/2019 12:15,8/16/2019,10.08,11.69,14.51,8.89
287,8/16/2019 12:30,8/16/2019,10.47,11.64,14.58,8.89
288,8/16/2019 12:45,8/16/2019,10.61,11.52,14.79,8.87
289,8/16/2019 13:00,8/16/2019,11.08,10.83,14.72,9.29
290,8/16/2019 13:15,8/16/2019,11.03,11.59,14.60,9.16
291,8/16/2019 13:30,8/16/2019,11.39,12.85,14.79,8.97
292,8/16/2019 13:45,8/16/2019,11.69,13.19,14.75,8.94
293,8/16/2019 14:00,8/16/2019,12.32,14.15,14.55,8.79
294,8/16/2019 14:15,8/16/2019,12.00,14.75,14.36,8.92
295,8/16/2019 14:30,8/16/2019,12.00,14.46,14.29,9.14
296,8/16/2019 14:45,8/16/2019,12.56,15.58,14.36,9.02
297,8/16/2019 15:00,8/16/2019,12.24,15.22,14.12,9.26
298,8/16/2019 15:15,8/16/2019,12.73,15.96,14.24,9.16
299,8/16/2019 15:30,8/16/2019,12.58,15.84,13.98,9.29
300,8/16/2019 15:45,8/16/2019,12.92,16.58,13.83,9.16
301,8/16/2019 16:00,8/16/2019,13.11,16.49,13.88,9.14
302,8/16/2019 16:15,8/16/2019,12.97,16.70,13.74,9.36
303,8/16/2019 16:30,8/16/2019,12.63,16.42,13.59,9.49
304,8/16/2019 16:45,8/16/2019,13.14,16.89,13.50,9.41
305,8/16/2019 17:00,8/16/2019,13.14,17.13,13.57,9.26
306,8/16/2019 17:15,8/16/2019,13.45,16.13,12.80,9.16
307,8/16/2019 17:30,8/16/2019,13.38,15.70,12.39,9.14
308,8/16/2019 17:45,8/16/2019,13.26,15.46,12.15,9.26
309,8/16/2019 18:00,8/16/2019,13.31,15.15,11.93,9.26
310,8/16/2019 18:15,8/16/2019,13.11,15.20,11.83,9.41
311,8/16/2019 18:30,8/16/2019,12.94,15.03,11.61,9.53
312,8/16/2019 18:45,8/16/2019,12.85,14.43,10.05,9.63
313,8/16/2019 19:00,8/16/2019,12.58,14.15,10.15,9.93
314,8/16/2019 19:15,8/16/2019,12.07,13.11,9.51,9.66
315,8/16/2019 19:30,8/16/2019,11.59,12.27,9.09,9.58
316,8/16/2019 19:45,8/16/2019,11.37,11.81,8.87,9.58
317,8/16/2019 20:00,8/16/2019,11.18,11.66,9.16,9.58
318,8/16/2019 20:15,8/16/2019,10.91,11.76,9.24,9.56
319,8/16/2019 20:30,8/16/2019,10.69,11.73,9.26,9.56
320,8/16/2019 20:45,8/16/2019,10.44,11.37,9.34,9.49
321,8/16/2019 21:00,8/16/2019,10.27,11.22,9.34,9.51
322,8/16/2019 21:15,8/16/2019,10.08,11.05,9.31,9.44
323,8/16/2019 21:30,8/16/2019,9.88,10.86,9.16,9.39
324,8/16/2019 21:45,8/16/2019,9.73,10.61,9.16,9.36
325,8/16/2019 22:00,8/16/2019,9.61,10.42,9.11,9.29
326,8/16/2019 22:15,8/16/2019,9.51,10.27,9.11,9.26
327,8/16/2019 22:30,8/16/2019,9.41,10.20,9.21,9.26
328,8/16/2019 22:45,8/16/2019,9.34,10.05,9.21,9.26
329,8/16/2019 23:00,8/16/2019,9.26,9.93,9.21,9.29
330,8/16/2019 23:15,8/16/2019,9.19,9.83,9.16,9.24
331,8/16/2019 23:30,8/16/2019,9.09,9.81,9.16,9.21
332,8/16/2019 23:45,8/16/2019,9.02,9.66,9.11,9.19
333,8/17/2019 0:00,8/17/2019,8.94,9.58,9.04,9.11
334,8/17/2019 0:15,8/17/2019,8.87,9.49,8.99,9.09
335,8/17/2019 0:30,8/17/2019,8.79,9.41,8.92,9.04
336,8/17/2019 0:45,8/17/2019,8.74,9.36,8.84,9.02
337,8/17/2019 1:00,8/17/2019,8.69,9.31,8.82,8.99
338,8/17/2019 1:15,8/17/2019,8.62,9.21,8.77,8.97
339,8/17/2019 1:30,8/17/2019,8.54,9.16,8.74,8.94
340,8/17/2019 1:45,8/17/2019,8.47,9.06,8.72,8.92
341,8/17/2019 2:00,8/17/2019,8.42,9.02,8.67,8.89
342,8/17/2019 2:15,8/17/2019,8.34,8.94,8.59,8.84
343,8/17/2019 2:30,8/17/2019,8.32,8.87,8.52,8.82
344,8/17/2019 2:45,8/17/2019,8.25,8.79,8.47,8.77
345,8/17/2019 3:00,8/17/2019,8.17,8.74,8.42,8.74
346,8/17/2019 3:15,8/17/2019,8.12,8.67,8.39,8.72
347,8/17/2019 3:30,8/17/2019,8.07,8.62,8.42,8.69
348,8/17/2019 3:45,8/17/2019,8.00,8.57,8.39,8.64
349,8/17/2019 4:00,8/17/2019,7.95,8.49,8.37,8.62
350,8/17/2019 4:15,8/17/2019,7.90,8.44,8.32,8.59
351,8/17/2019 4:30,8/17/2019,7.82,8.39,8.27,8.57
352,8/17/2019 4:45,8/17/2019,7.75,8.32,8.17,8.52
353,8/17/2019 5:00,8/17/2019,7.70,8.30,8.15,8.52
354,8/17/2019 5:15,8/17/2019,7.65,8.22,8.22,8.47
355,8/17/2019 5:30,8/17/2019,7.59,8.20,8.37,8.44
356,8/17/2019 5:45,8/17/2019,7.57,8.12,8.30,8.42
357,8/17/2019 6:00,8/17/2019,7.52,8.17,8.47,8.37
358,8/17/2019 6:15,8/17/2019,7.49,8.22,8.49,8.37
359,8/17/2019 6:30,8/17/2019,7.44,8.15,8.47,8.32
360,8/17/2019 6:45,8/17/2019,7.42,8.20,8.54,8.30
361,8/17/2019 7:00,8/17/2019,7.37,8.17,8.47,8.27
362,8/17/2019 7:15,8/17/2019,7.34,8.05,8.37,8.27
363,8/17/2019 7:30,8/17/2019,7.32,8.07,8.42,8.27
364,8/17/2019 7:45,8/17/2019,7.32,8.12,8.64,8.22
365,8/17/2019 8:00,8/17/2019,7.29,8.00,8.34,8.22
366,8/17/2019 8:15,8/17/2019,7.27,8.02,8.37,8.17
367,8/17/2019 8:30,8/17/2019,7.24,7.90,8.39,8.17
368,8/17/2019 8:45,8/17/2019,7.22,7.97,8.57,8.15
369,8/17/2019 9:00,8/17/2019,7.24,7.97,9.02,8.15
370,8/17/2019 9:15,8/17/2019,7.27,7.90,8.97,8.12
371,8/17/2019 9:30,8/17/2019,7.27,7.90,8.82,8.12
372,8/17/2019 9:45,8/17/2019,7.27,7.95,8.82,8.10
373,8/17/2019 10:00,8/17/2019,7.22,7.90,8.74,8.10
374,8/17/2019 10:15,8/17/2019,7.24,7.92,8.82,8.07
375,8/17/2019 10:30,8/17/2019,7.27,7.95,8.84,8.07
376,8/17/2019 10:45,8/17/2019,7.24,8.07,8.84,8.07
377,8/17/2019 11:00,8/17/2019,7.22,7.87,8.82,8.10
378,8/17/2019 11:15,8/17/2019,7.29,8.12,8.79,8.02
379,8/17/2019 11:30,8/17/2019,7.34,8.20,8.72,8.02
380,8/17/2019 11:45,8/17/2019,7.32,7.97,8.77,8.02
381,8/17/2019 12:00,8/17/2019,7.37,7.95,9.02,8.00
382,8/17/2019 12:15,8/17/2019,7.32,8.15,9.16,8.07
383,8/17/2019 12:30,8/17/2019,7.47,8.32,9.29,8.02
384,8/17/2019 12:45,8/17/2019,7.39,8.47,9.46,8.00
385,8/17/2019 13:00,8/17/2019,7.54,8.79,9.49,7.97
386,8/17/2019 13:15,8/17/2019,7.59,8.94,9.41,7.95
387,8/17/2019 13:30,8/17/2019,7.67,9.19,9.83,7.92
388,8/17/2019 13:45,8/17/2019,7.82,9.68,10.20,7.95
389,8/17/2019 14:00,8/17/2019,8.10,10.25,10.35,7.90
390,8/17/2019 14:15,8/17/2019,8.22,10.39,10.54,7.90
391,8/17/2019 14:30,8/17/2019,8.17,10.59,10.42,7.92
392,8/17/2019 14:45,8/17/2019,8.27,10.71,10.03,7.92
